,clstr_a,clstr_b,movie_id,cos_smltd,vecino_id
0.0,1.0,1.0,10895,0.138726257004976,46929
0.0,1.0,1.0,10895,0.11475202431619129,28978
0.0,1.0,1.0,10895,0.11303325406388799,247773
0.0,1.0,1.0,10895,0.10711475430988299,84090
0.0,1.0,1.0,10895,0.10529917870581909,43384
1.0,1.0,1.0,26744,0.2222705848837173,27899
1.0,1.0,1.0,26744,0.18967365743169595,19119
1.0,1.0,1.0,26744,0.1544733350387096,25735
1.0,1.0,1.0,26744,0.14945230586076835,76076
1.0,1.0,1.0,26744,0.14095959763738913,401461
2.0,1.0,1.0,110465,0.26587070661939405,206034
2.0,1.0,1.0,110465,0.21714246218926925,43384
2.0,1.0,1.0,110465,0.2014634099507475,24965
2.0,1.0,1.0,110465,0.19638646105554103,53865
2.0,1.0,1.0,110465,0.19475857579060663,84274
3.0,1.0,1.0,43596,0.16876927573384365,50030
3.0,1.0,1.0,43596,0.16141366853014077,964
3.0,1.0,1.0,43596,0.1380232317210352,159727
3.0,1.0,1.0,43596,0.13394805646000496,174187
3.0,1.0,1.0,43596,0.12688684473297826,116991
4.0,1.0,1.0,27854,0.2614187103757765,46014
4.0,1.0,1.0,27854,0.15727642209335996,43506
4.0,1.0,1.0,27854,0.1514056001362397,193638
4.0,1.0,1.0,27854,0.14370608786593222,28093
4.0,1.0,1.0,27854,0.1433951149201091,44087
5.0,1.0,1.0,872,0.16527078886473867,53522
5.0,1.0,1.0,872,0.15771575306195465,62188
5.0,1.0,1.0,872,0.1412004607246594,156335
5.0,1.0,1.0,872,0.14061696896900075,155208
5.0,1.0,1.0,872,0.13674482368982938,67375
6.0,1.0,1.0,2769,0.19270352533090124,51277
6.0,1.0,1.0,2769,0.1402581550347578,40235
6.0,1.0,1.0,2769,0.13767025826548795,3080
6.0,1.0,1.0,2769,0.133253745626503,13696
6.0,1.0,1.0,2769,0.12819717613801068,126922
7.0,1.0,1.0,3078,0.22768885391029534,30506
7.0,1.0,1.0,3078,0.22149486384314368,43397
7.0,1.0,1.0,3078,0.2005991382629087,43449
7.0,1.0,1.0,3078,0.19871694836054432,160254
7.0,1.0,1.0,3078,0.19516471461124418,120657
8.0,1.0,1.0,13528,0.25410411721584103,84711
8.0,1.0,1.0,13528,0.15813220612335271,249333
8.0,1.0,1.0,13528,0.1338569948727094,30102
8.0,1.0,1.0,13528,0.12907715271250433,43397
8.0,1.0,1.0,13528,0.12509624496372287,92257
9.0,1.0,1.0,28288,0.22165098460620122,120657
9.0,1.0,1.0,28288,0.1801341645926324,43397
9.0,1.0,1.0,28288,0.1721997201752808,31667
9.0,1.0,1.0,28288,0.17089004871150162,92257
9.0,1.0,1.0,28288,0.15182577480694417,54539
10.0,1.0,1.0,289,0.11477706363066674,100605
10.0,1.0,1.0,289,0.11158943723268226,26940
10.0,1.0,1.0,289,0.10457831322476754,52679
10.0,1.0,1.0,289,0.09360983307442607,2769
10.0,1.0,1.0,289,0.09066918188560386,48127
11.0,1.0,1.0,963,0.15645967897426685,910
11.0,1.0,1.0,963,0.12215429042670815,40951
11.0,1.0,1.0,963,0.11247432797117288,25564
11.0,1.0,1.0,963,0.10084833324118482,3574
11.0,1.0,1.0,963,0.09614256752122576,160254
12.0,1.0,1.0,599,0.14520765765532162,52679
12.0,1.0,1.0,599,0.13116854920628324,46196
12.0,1.0,1.0,599,0.12507784765305105,100420
12.0,1.0,1.0,599,0.11305812031165642,85876
12.0,1.0,1.0,599,0.10501953513165385,27777
13.0,1.0,1.0,15,0.14802444035098888,99351
13.0,1.0,1.0,15,0.14271538898773198,55308
13.0,1.0,1.0,15,0.13915576103176372,84086
13.0,1.0,1.0,15,0.12704840499289854,43599
13.0,1.0,1.0,15,0.12400887693733642,21454
14.0,1.0,1.0,121357,0.1532899537900318,28433
14.0,1.0,1.0,121357,0.1203654112175152,33667
14.0,1.0,1.0,121357,0.11217028975291157,110465
14.0,1.0,1.0,121357,0.10451753601772801,19096
14.0,1.0,1.0,121357,0.10158444754635226,36851
15.0,1.0,1.0,223,0.2287827533546653,43456
15.0,1.0,1.0,223,0.16587813818120148,43449
15.0,1.0,1.0,223,0.15912685820417766,160254
15.0,1.0,1.0,223,0.15572666843335714,132122
15.0,1.0,1.0,223,0.14510300294267953,22968
16.0,1.0,1.0,25670,0.13883626289375917,23340
16.0,1.0,1.0,25670,0.1384136073349046,43517
16.0,1.0,1.0,25670,0.13634178726396223,43151
16.0,1.0,1.0,25670,0.12908541378403687,11627
16.0,1.0,1.0,25670,0.12632553473028232,118236
17.0,1.0,1.0,303,0.16217239113448292,247604
17.0,1.0,1.0,303,0.1267664875193854,961
17.0,1.0,1.0,303,0.1256447428542537,4461
17.0,1.0,1.0,303,0.12241241526789981,23924
17.0,1.0,1.0,303,0.11841619586697313,99920
18.0,1.0,1.0,20758,0.21618922263543341,22968
18.0,1.0,1.0,20758,0.14045185705688656,130507
18.0,1.0,1.0,20758,0.13264857814245926,130452
18.0,1.0,1.0,20758,0.1238435174988429,90968
18.0,1.0,1.0,20758,0.12152661218423812,25918
19.0,1.0,1.0,10907,0.20062404782340904,44631
19.0,1.0,1.0,10907,0.19417274924409353,27884
19.0,1.0,1.0,10907,0.16231056992172477,16905
19.0,1.0,1.0,10907,0.1603619757623393,26175
19.0,1.0,1.0,10907,0.13111680033839823,51360
20.0,1.0,1.0,32093,0.14059635079018326,23253
20.0,1.0,1.0,32093,0.14044725420436074,282078
20.0,1.0,1.0,32093,0.13887236573622047,44087
20.0,1.0,1.0,32093,0.13004361599370123,73369
20.0,1.0,1.0,32093,0.1290893369057984,34651
21.0,1.0,1.0,3598,0.16178338925118654,140276
21.0,1.0,1.0,3598,0.1540202576560117,31623
21.0,1.0,1.0,3598,0.14181107176208416,41002
21.0,1.0,1.0,3598,0.13871798309699226,41800
21.0,1.0,1.0,3598,0.1379920517639008,30131
22.0,1.0,1.0,3080,0.23600577431775674,51277
22.0,1.0,1.0,3080,0.14787839039614628,40235
22.0,1.0,1.0,3080,0.14340042369825082,66473
22.0,1.0,1.0,3080,0.14229284163688935,13696
22.0,1.0,1.0,3080,0.13767025826548795,2769
23.0,1.0,1.0,13562,0.22413661175516547,106016
23.0,1.0,1.0,13562,0.20943632462980702,42510
23.0,1.0,1.0,13562,0.18863504686908203,3082
23.0,1.0,1.0,13562,0.18550297068928484,38437
23.0,1.0,1.0,13562,0.1678641727053751,44025
24.0,1.0,1.0,3085,0.15276476333097955,160254
24.0,1.0,1.0,3085,0.1425536856828396,73369
24.0,1.0,1.0,3085,0.13833341227056728,887
24.0,1.0,1.0,3085,0.1314509611235658,247773
24.0,1.0,1.0,3085,0.12918505394941807,144475
25.0,1.0,1.0,1585,0.17053468676913383,147050
25.0,1.0,1.0,1585,0.15318549544457827,45166
25.0,1.0,1.0,1585,0.14675238897096235,18281
25.0,1.0,1.0,1585,0.14110512702163358,42191
25.0,1.0,1.0,1585,0.14037874394818833,31561
26.0,1.0,1.0,3083,0.16384952174809805,100894
26.0,1.0,1.0,3083,0.16118910033033607,44775
26.0,1.0,1.0,3083,0.14795426905891818,52758
26.0,1.0,1.0,3083,0.14324162135048227,84084
26.0,1.0,1.0,3083,0.140450470122625,109913
27.0,1.0,1.0,23114,0.1756596324885028,110465
27.0,1.0,1.0,23114,0.17079045567452195,101297
27.0,1.0,1.0,23114,0.15508813444440783,97024
27.0,1.0,1.0,23114,0.15305181962176898,189005
27.0,1.0,1.0,23114,0.14234525165194803,22592
28.0,1.0,1.0,26378,0.33719574240511335,43891
28.0,1.0,1.0,26378,0.1632277719820299,135286
28.0,1.0,1.0,26378,0.15329656800144575,26009
28.0,1.0,1.0,26378,0.15190481903303515,37340
28.0,1.0,1.0,26378,0.14557704920661307,17218
29.0,1.0,1.0,40206,0.15190266613511025,194516
29.0,1.0,1.0,40206,0.14594860171576501,57698
29.0,1.0,1.0,40206,0.13373615372932146,75315
29.0,1.0,1.0,40206,0.13047310419484567,21296
29.0,1.0,1.0,40206,0.12430088623778171,94182
30.0,1.0,1.0,22356,0.19099993052155712,51277
30.0,1.0,1.0,22356,0.17264444179306027,111607
30.0,1.0,1.0,22356,0.16401461497919975,108246
30.0,1.0,1.0,22356,0.1523540957817495,19490
30.0,1.0,1.0,22356,0.14523554626815294,43808
31.0,1.0,1.0,260,0.17232538149896215,36339
31.0,1.0,1.0,260,0.16534261400333564,39943
31.0,1.0,1.0,260,0.1443798662928264,46014
31.0,1.0,1.0,260,0.13617790305542943,37368
31.0,1.0,1.0,260,0.13584241067327493,97584
32.0,1.0,1.0,43488,0.1339118720839157,46875
32.0,1.0,1.0,43488,0.13067315555877518,37214
32.0,1.0,1.0,43488,0.12204900489550506,28120
32.0,1.0,1.0,43488,0.1178947683195887,86120
32.0,1.0,1.0,43488,0.11631438365174523,46145
33.0,1.0,1.0,488,0.14098995539615503,28093
33.0,1.0,1.0,488,0.1346015550051523,17820
33.0,1.0,1.0,488,0.1340065261962222,41312
33.0,1.0,1.0,488,0.13382593488946296,80705
33.0,1.0,1.0,488,0.13056900432626542,15696
34.0,1.0,1.0,22657,0.11314226372353384,50868
34.0,1.0,1.0,22657,0.1073606178552939,39039
34.0,1.0,1.0,22657,0.09858904013034431,71065
34.0,1.0,1.0,22657,0.0955046271907421,127812
34.0,1.0,1.0,22657,0.09518323674373087,80705
35.0,1.0,1.0,76464,0.19891056769496407,26699
35.0,1.0,1.0,76464,0.1524975644496602,36342
35.0,1.0,1.0,76464,0.13448330375806697,53522
35.0,1.0,1.0,76464,0.12951175595504916,17966
35.0,1.0,1.0,76464,0.12810368180471726,108220
36.0,1.0,1.0,176841,0.1795345849256152,52270
36.0,1.0,1.0,176841,0.16416096748554912,147722
36.0,1.0,1.0,176841,0.15900390591739455,992
36.0,1.0,1.0,176841,0.1490736447955624,43155
36.0,1.0,1.0,176841,0.14126958498577852,184802
37.0,1.0,1.0,29682,0.11001152294106058,19525
37.0,1.0,1.0,29682,0.10732028949985346,31148
37.0,1.0,1.0,29682,0.10448138611499502,28392
37.0,1.0,1.0,29682,0.09851237548585964,30665
37.0,1.0,1.0,29682,0.09159385721676983,40650
38.0,1.0,1.0,31530,0.16186761022469448,60562
38.0,1.0,1.0,31530,0.12702483094268585,95012
38.0,1.0,1.0,31530,0.12538772160420258,63617
38.0,1.0,1.0,31530,0.12358460283646491,130452
38.0,1.0,1.0,31530,0.11937067384927473,111100
39.0,1.0,1.0,66473,0.16552324314991995,51277
39.0,1.0,1.0,66473,0.14340042369825082,3080
39.0,1.0,1.0,66473,0.14175042075126051,14605
39.0,1.0,1.0,66473,0.13183558083137698,43501
39.0,1.0,1.0,66473,0.12591007950838387,132263
40.0,1.0,1.0,28120,0.19133711941421247,99545
40.0,1.0,1.0,28120,0.19057279746538458,36375
40.0,1.0,1.0,28120,0.18868551208310658,53651
40.0,1.0,1.0,28120,0.18558744947626815,206034
40.0,1.0,1.0,28120,0.18479433288581487,29882
41.0,1.0,1.0,1834,0.23610245290030205,910
41.0,1.0,1.0,1834,0.16659813616391278,1841
41.0,1.0,1.0,1834,0.13844814428551416,118236
41.0,1.0,1.0,1834,0.13651773509010967,1840
41.0,1.0,1.0,1834,0.12256899019512063,16090
42.0,1.0,1.0,26282,0.21732522792832215,53430
42.0,1.0,1.0,26282,0.1837712795834221,51360
42.0,1.0,1.0,26282,0.17504859491645383,212926
42.0,1.0,1.0,26282,0.17396658377956425,43463
42.0,1.0,1.0,26282,0.16775112988075083,46531
43.0,1.0,1.0,31556,0.16207705787508953,31167
43.0,1.0,1.0,31556,0.1593434719032746,16090
43.0,1.0,1.0,31556,0.1384186127127771,23388
43.0,1.0,1.0,31556,0.13250392624949492,20482
43.0,1.0,1.0,31556,0.12985459075711142,43396
44.0,1.0,1.0,26167,0.17025146470862,13847
44.0,1.0,1.0,26167,0.16313498019701342,21296
44.0,1.0,1.0,26167,0.16132491281656136,191487
44.0,1.0,1.0,26167,0.15243251958373244,97024
44.0,1.0,1.0,26167,0.1478975975320777,37294
45.0,1.0,1.0,26174,0.36435239793883756,29260
45.0,1.0,1.0,26174,0.19895428123466755,39943
45.0,1.0,1.0,26174,0.1847872779116539,33811
45.0,1.0,1.0,26174,0.1838030994868239,46531
45.0,1.0,1.0,26174,0.14750326590739005,37482
46.0,1.0,1.0,218713,0.2751419690523402,44409
46.0,1.0,1.0,218713,0.26604900579146984,95560
46.0,1.0,1.0,218713,0.2638398497728232,30506
46.0,1.0,1.0,218713,0.22829003555527122,42362
46.0,1.0,1.0,218713,0.22115914077774795,17058
47.0,1.0,1.0,217802,0.2420992773381157,20153
47.0,1.0,1.0,217802,0.18056452575367155,53518
47.0,1.0,1.0,217802,0.17988035835031257,19169
47.0,1.0,1.0,217802,0.17458890729780985,44409
47.0,1.0,1.0,217802,0.16281646040707382,148326
48.0,1.0,1.0,127973,0.16056184668383447,30982
48.0,1.0,1.0,127973,0.13946144171191116,147050
48.0,1.0,1.0,127973,0.10279072145663534,1585
48.0,1.0,1.0,127973,0.09410175186038353,186201
48.0,1.0,1.0,127973,0.09317934426203522,22999
49.0,1.0,1.0,1092,0.1822314637964395,35793
49.0,1.0,1.0,1092,0.14956047116501692,4460
49.0,1.0,1.0,1092,0.11001918475323198,38804
49.0,1.0,1.0,1092,0.10686370083393326,110465
49.0,1.0,1.0,1092,0.10610409816466428,116712
50.0,1.0,1.0,3109,0.12055655649026342,242378
50.0,1.0,1.0,3109,0.10847209271278271,43495
50.0,1.0,1.0,3109,0.10650280695950493,117004
50.0,1.0,1.0,3109,0.09696743073298596,84905
50.0,1.0,1.0,3109,0.09516788967249039,16661
51.0,1.0,1.0,3090,0.1609759707956176,241754
51.0,1.0,1.0,3090,0.15854243506775836,53651
51.0,1.0,1.0,3090,0.1560186240803222,25599
51.0,1.0,1.0,3090,0.14537923472539777,962
51.0,1.0,1.0,3090,0.14454413541734096,245984
52.0,1.0,1.0,3063,0.1286678552679215,51759
52.0,1.0,1.0,3063,0.12400548822308712,80853
52.0,1.0,1.0,3063,0.11686355872998855,52364
52.0,1.0,1.0,3063,0.10727783394012619,118236
52.0,1.0,1.0,3063,0.0934810415765168,147726
53.0,1.0,1.0,832,0.15381192517477787,36373
53.0,1.0,1.0,832,0.14826440180693845,65210
53.0,1.0,1.0,832,0.14069262986280648,30308
53.0,1.0,1.0,832,0.13902468239860902,20482
53.0,1.0,1.0,832,0.13424626965821507,31167
54.0,1.0,1.0,212,0.11703701192912803,44025
54.0,1.0,1.0,212,0.11476416574731071,108246
54.0,1.0,1.0,212,0.11349348893232629,247773
54.0,1.0,1.0,212,0.10744772070774813,54615
54.0,1.0,1.0,212,0.1054138007053727,47555
55.0,1.0,1.0,914,0.16980039628113708,53576
55.0,1.0,1.0,914,0.11781518278306424,177190
55.0,1.0,1.0,914,0.09895997988648728,172913
55.0,1.0,1.0,914,0.0931340844711615,52364
55.0,1.0,1.0,914,0.0909734423820642,169479
56.0,1.0,1.0,288,0.17757427136347104,22602
56.0,1.0,1.0,288,0.15622280791368373,85876
56.0,1.0,1.0,288,0.15382821850765827,173634
56.0,1.0,1.0,288,0.15334483460963155,30345
56.0,1.0,1.0,288,0.15033527823209272,58076
57.0,1.0,1.0,910,0.23610245290030205,1834
57.0,1.0,1.0,910,0.2109049301278273,1841
57.0,1.0,1.0,910,0.1658031798356002,160254
57.0,1.0,1.0,910,0.158252170266917,118236
57.0,1.0,1.0,910,0.15690097705560468,40951
58.0,1.0,1.0,143,0.19565986995920348,3060
58.0,1.0,1.0,143,0.1764317262812456,130633
58.0,1.0,1.0,143,0.1714988654042319,109970
58.0,1.0,1.0,143,0.1708506775284222,58192
58.0,1.0,1.0,143,0.16742757795877705,44480
59.0,1.0,1.0,42861,0.16101291798360193,86081
59.0,1.0,1.0,42861,0.14642046146339804,36922
59.0,1.0,1.0,42861,0.1435652547219627,174187
59.0,1.0,1.0,42861,0.14310822886056246,66148
59.0,1.0,1.0,42861,0.14257687180153691,84084
60.0,1.0,1.0,43277,0.19876542983797185,43491
60.0,1.0,1.0,43277,0.14591902703435505,3062
60.0,1.0,1.0,43277,0.1419157893881396,118943
60.0,1.0,1.0,43277,0.12442095790476362,28658
60.0,1.0,1.0,43277,0.11659509094083308,43176
61.0,1.0,1.0,43266,0.23508871817296614,43822
61.0,1.0,1.0,43266,0.20273519425723718,87060
61.0,1.0,1.0,43266,0.18639356661962178,43805
61.0,1.0,1.0,43266,0.15447760560753163,42837
61.0,1.0,1.0,43266,0.15325648823621243,63395
62.0,1.0,1.0,17661,0.16904167751963767,32430
62.0,1.0,1.0,17661,0.1640211913162604,84086
62.0,1.0,1.0,17661,0.1611382397219721,18050
62.0,1.0,1.0,17661,0.12258611046490583,43650
62.0,1.0,1.0,17661,0.0943463093515621,28480
63.0,1.0,1.0,28580,0.15790637883555278,48591
63.0,1.0,1.0,28580,0.13355828178711499,3062
63.0,1.0,1.0,28580,0.13084597412391713,74550
63.0,1.0,1.0,28580,0.13046986626783635,27899
63.0,1.0,1.0,28580,0.13014427759808436,125666
64.0,1.0,1.0,887,0.1913127828675804,109970
64.0,1.0,1.0,887,0.1880149542750788,43453
64.0,1.0,1.0,887,0.1799281399342893,1882
